2026-07-31 17:02:32 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=17; using neutral factors.
2026-07-31 17:02:32 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 17:02:32 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 17:04:20 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=17; using neutral factors.
2026-07-31 17:04:20 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 17:04:20 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 17:47:46 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=17; using neutral factors.
2026-07-31 17:47:46 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 17:47:46 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 17:48:57 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=17; using neutral factors.
2026-07-31 17:48:57 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 17:48:57 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 22:01:21 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=2602; using neutral factors.
2026-07-31 22:01:21 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-07-31 22:01:21 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-03 22:54:22 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=3313; using neutral factors.
2026-08-03 22:54:22 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-03 22:54:22 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:34:33 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=2; using neutral factors.
2026-08-05 22:34:33 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:34:33 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:35:21 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:35:21 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:36:05 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=2; using neutral factors.
2026-08-05 22:36:05 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:36:05 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:38:10 | INFO     | app.data_sources.weather_api | No ballpark reference row for venue_id=3313; using neutral factors.
2026-08-05 22:38:10 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
2026-08-05 22:38:10 | INFO     | app.data_sources.odds_api | ODDS_API_KEY not set -- automated odds unavailable, use manual entry.
