game_date,game_time,game_id,pitcher_id,pitcher,team,opponent,home_or_away,lineup_status,sportsbook,strikeout_line,over_odds,under_odds,statistics_only_projection,market_informed_projection,final_blended_projection,median_strikeouts,std_dev,model_over_probability,model_under_probability,projection_minus_line,recommendation,edge_grade,confidence,estimated_ev,expected_innings,expected_batters_faced,expected_pitch_count,workload_source,workload_role,validation_status,odds_timestamp,projection_timestamp,projection_id
2026-08-07,2026-08-07T22:40:00Z,823349,669387,Carmen Mlodzinski,Pittsburgh Pirates,New York Mets,home,confirmed,FanDuel,3.5,130,-166,4.6,4.37,4.52,4.0,2.152,0.67748,0.32252000000000003,1.0999999999999996,OVER,Strong estimated edge,HIGH,0.5582039999999999,5.07,22.0,87.4,mlb_recent_starts,swingman,valid,2026-08-07T19:46:15Z,2026-08-07T19:46:16.114323+00:00,70878a4c-f5e0-4d4d-8165-090e4557d5fb
2026-08-07,2026-08-07T22:40:00Z,823349,804267,Zac Thornton,New York Mets,Pittsburgh Pirates,away,confirmed,unavailable,,,,5.24,5.22,5.24,5.0,2.237,,,,,,,,5.72,22.3,82.7,mlb_season_totals,starter,valid,2026-08-07T19:46:17Z,2026-08-07T19:46:17.720971+00:00,99cde993-1cac-4c33-94bd-bd1951bedfb4
2026-08-07,2026-08-07T22:40:00Z,823428,554430,Zack Wheeler,Philadelphia Phillies,Toronto Blue Jays,home,confirmed,FanDuel,5.5,-158,124,5.55,5.53,5.54,5.0,2.284,0.4844,0.5156,0.04999999999999982,PASS,No meaningful estimated edge,PASS,,5.83,22.4,93.2,mlb_season_totals,starter,valid,2026-08-07T19:46:19Z,2026-08-07T19:46:19.504446+00:00,22bd34e8-53c3-4d0e-bf37-4c79b70d5f3c
2026-08-07,2026-08-07T22:40:00Z,823428,667755,José Soriano,Toronto Blue Jays,Philadelphia Phillies,away,confirmed,FanDuel,4.5,-128,100,5.1,4.98,5.05,5.0,2.246,0.5766,0.4234,0.5999999999999996,OVER,Small estimated edge,HIGH,0.027068749999999975,5.25,23.2,96.5,mlb_season_totals,starter,valid,2026-08-07T19:46:20Z,2026-08-07T19:46:21.137889+00:00,fa75f6d5-830d-4dbf-883d-42c911ff5a0b
2026-08-07,2026-08-07T23:10:00Z,823836,663969,Tyler Phillips,Miami Marlins,Los Angeles Angels,home,confirmed,FanDuel,4.5,126,-162,3.68,3.87,3.74,4.0,1.966,0.31112,0.6888799999999999,-0.8199999999999998,UNDER,Strong estimated edge,HIGH,0.11411456790123442,4.07,17.2,61.2,mlb_recent_starts,swingman,valid,2026-08-07T19:46:22Z,2026-08-07T19:46:22.717625+00:00,1396b86b-7f4a-480e-a49e-b333e2055e3f
2026-08-07,2026-08-07T23:10:00Z,823836,691946,George Klassen,Los Angeles Angels,Miami Marlins,away,confirmed,FanDuel,4.5,104,-132,3.34,3.55,3.42,3.0,2.282,0.27876,0.72124,-1.1600000000000001,UNDER,Strong estimated edge,MEDIUM,0.2676339393939394,2.19,14.2,75.4,mlb_season_totals,starter,valid,2026-08-07T19:46:23Z,2026-08-07T19:46:24.207709+00:00,b2d7dbb9-2906-47e7-aa36-83ad42a962b4
2026-08-07,2026-08-08T00:15:00Z,823024,681517,Kyle Leahy,St. Louis Cardinals,Colorado Rockies,home,confirmed,FanDuel,4.5,-113,-113,4.65,4.61,4.63,4.0,2.166,0.497,0.503,0.15000000000000036,PASS,No meaningful estimated edge,PASS,,5.11,21.7,84.3,mlb_season_totals,starter,valid,2026-08-07T19:46:25Z,2026-08-07T19:46:25.829705+00:00,dac22640-bc22-442c-a40a-a27bb1b66873
2026-08-07,2026-08-08T00:15:00Z,823024,663372,Ryan Feltner,Colorado Rockies,St. Louis Cardinals,away,confirmed,FanDuel,3.5,112,-142,4.06,3.95,4.02,4.0,2.056,0.57584,0.42416000000000004,0.5599999999999996,OVER,Moderate estimated edge,HIGH,0.2207808000000001,4.79,20.9,79.4,mlb_season_totals,starter,valid,2026-08-07T19:46:27Z,2026-08-07T19:46:27.354815+00:00,66d4042d-632f-4859-bc3a-e3fb00b14438
